"gender" "Age" "Points"
"1" "F" 53 25
"2" "M" 55 12
"3" "F" 49 24
"4" "M" 53 10
"5" "M" 49 22
"6" "F" 38 21
"7" "M" 50 21
"8" "F" 37 31
"9" "M" 37 24
"10" "F" 42 26
"11" "M" 37 31
"12" "F" 34 31
"13" "F" 34 23
"14" "F" 34 25
"15" "M" 35 21
"16" "F" 33 31
"17" "F" 32 20
"18" "F" 44 22
"19" "M" 29 9
"20" "F" 30 24
"21" "M" 27 28
"22" "M" 29 30
"23" "F" 31 24
"24" "F" 37 9
"25" "F" 26 26
"26" "F" 26 32
"27" "M" 30 32
"28" "F" 33 33
"29" "F" 33 29
"30" "M" 28 30
"31" "M" 26 19
"32" "F" 27 23
"33" "F" 25 19
"34" "F" 31 12
"35" "M" 20 10
"36" "F" 39 11
"37" "M" 38 20
"38" "M" 24 26
"39" "M" 26 31
"40" "M" 25 20
"41" "F" 30 23
"42" "F" 25 12
"43" "M" 30 24
"44" "F" 48 17
"45" "F" 24 29
"46" "F" 40 23
"47" "M" 25 28
"48" "F" 23 31
"49" "F" 25 23
"50" "F" 23 25
"51" "M" 27 18
"52" "M" 25 19
"53" "M" 23 22
"54" "F" 23 25
"55" "F" 23 21
"56" "F" 45 9
"57" "F" 22 28
"58" "F" 23 25
"59" "M" 21 29
"60" "M" 21 33
"61" "F" 21 33
"62" "F" 21 25
"63" "F" 26 18
"64" "F" 25 22
"65" "F" 26 17
"66" "M" 21 25
"67" "F" 23 28
"68" "F" 22 22
"69" "F" 22 26
"70" "F" 22 11
"71" "F" 23 29
"72" "M" 22 22
"73" "M" 23 21
"74" "M" 24 28
"75" "F" 22 33
"76" "F" 23 16
"77" "M" 22 31
"78" "M" 20 22
"79" "M" 22 31
"80" "M" 21 23
"81" "F" 22 26
"82" "F" 23 12
"83" "M" 21 26
"84" "M" 22 31
"85" "M" 29 19
"86" "F" 29 30
"87" "F" 21 12
"88" "M" 28 17
"89" "F" 21 18
"90" "F" 30 19
"91" "F" 21 21
"92" "M" 23 24
"93" "F" 21 28
"94" "F" 21 17
"95" "F" 20 18
"96" "M" 22 17
"97" "M" 21 23
"98" "M" 21 26
"99" "F" 20 28
"100" "M" 22 31
"101" "F" 20 27
"102" "F" 20 25
"103" "M" 24 23
"104" "F" 20 21
"105" "F" 19 27
"106" "F" 21 28
"107" "F" 21 23
"108" "F" 22 21
"109" "F" 25 25
"110" "F" 21 11
"111" "F" 22 19
"112" "F" 25 24
"113" "F" 20 28
"114" "M" 24 21
"115" "F" 20 24
"116" "M" 21 24
"117" "F" 20 20
"118" "F" 20 19
"119" "M" 31 30
"120" "F" 20 22
"121" "F" 22 16
"122" "F" 22 16
"123" "M" 21 19
"124" "M" 22 30
"125" "F" 21 23
"126" "F" 21 19
"127" "F" 21 18
"128" "F" 21 28
"129" "F" 20 21
"130" "F" 21 19
"131" "F" 25 27
"132" "M" 21 24
"133" "F" 24 21
"134" "F" 20 20
"135" "M" 21 28
"136" "F" 20 12
"137" "F" 20 21
"138" "F" 18 28
"139" "F" 21 31
"140" "F" 19 18
"141" "F" 21 25
"142" "F" 20 19
"143" "M" 21 21
"144" "F" 20 16
"145" "F" 21 7
"146" "F" 20 21
"147" "F" 18 17
"148" "M" 22 22
"149" "F" 22 18
"150" "M" 24 25
"151" "F" 19 24
"152" "F" 20 23
"153" "F" 20 23
"154" "F" 17 26
"155" "M" 19 12
"156" "F" 20 32
"157" "F" 20 22
"158" "F" 20 20
"159" "F" 20 21
"160" "F" 19 23
"161" "F" 19 20
"162" "F" 22 28
"163" "M" 35 31
"164" "F" 18 18
"165" "F" 19 30
"166" "M" 21 19
